name,eirp
Ka-band Europe C beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Greece beam,0
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Greece beam,0
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Italy beam,0
Ku-band Wide beam,48
Ku-band Germany A beam,0
Ku-band Italy beam,0
Ku-band Greece beam,0
Ku-band Italy beam,0
Ku-band Greece beam,0
Ku-band Nordic/Eastern Europe beam,51
Ku-band Italy beam,0
Ku-band Germany A beam,0
Ku-band Greece beam,0
Ku-band Nordic/Eastern Europe beam,51
Ku-band Nordic/Eastern Europe beam,51
Ku-band Germany A beam,0
Ku-band Italy beam,0
Ku-band Germany A beam,0
Ku-band Italy beam,0
Ku-band Italy beam,0
Ku-band Greece beam,0
Ku-band Germany A beam,0
Ku-band Italy beam,0
Ku-band Greece beam,0
Ku-band Wide beam,48
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
Ku-band Europe Beam,47
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
C-band Global Beam,39
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band South Africa Beam,0
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
